id;visit_start_date;visit_end_date;cancelled;visiting_user_id;restaurant_id
1;2020-07-06T10:12:20;2020-07-06T18:48:13;false;1;1
2;2020-07-07T01:35:15;2020-07-06T13:47:15;false;2;2
3;2020-07-07T06:10:03;2020-07-06T10:18:20;false;2;3
4;2020-07-07T03:05:58;2020-07-07T06:06:41;true;2;4
5;2020-07-07T05:00:34;2020-07-06T19:13:56;false;1;5
6;2020-07-06T09:59:52;2020-07-06T10:28:37;true;1;6
7;2020-07-06T10:29:44;2020-07-06T18:40:29;true;1;7
8;2020-07-06T17:09:17;2020-07-07T01:38:31;false;2;8
9;2020-07-06T14:29:43;2020-07-06T20:09:00;true;2;9
10;2020-07-06T07:36:28;2020-07-06T13:29:25;true;2;10
